company_name,about,industry,sub_industry,company_stage,size,culture_tags,tech_stack,total_roles
Emirates,Dubai-based international airline known for luxury service,Transportation,Airlines,Private,"Enterprise (5,000+)","Luxury Service, International, Excellence","Sabre, Oracle, Emirates Connect",3
Maersk,Global integrated container logistics company,Transportation,Ocean & Air Freight,Public,"Enterprise (5,000+)","Global, Sustainability-focused, Innovation-driven, Safety-first","SAP, Salesforce, TradeLens, Custom TMS, CargoWise",11
BNSF Railway,One of North America's leading freight transportation companies operating across 28 states,Transportation,Railways,Public,"Enterprise (5,000+)","Safety-focused, Innovation-driven, Team-oriented","SAP, PTC Systems, GE Transportation Software, Oracle",10
XPO Logistics,"Global provider of transportation and logistics solutions, specializing in less-than-truckload (LTL) transportation, truck brokerage, and supply chain services",Transportation,Logistics,Public,"Enterprise (5,000+)","Fast-paced, Technology-driven, Safety-first, Results-oriented","SAP TMS, Oracle Transportation Management, Proprietary XPO Connect, Salesforce",5
C.H. Robinson,"Global third-party logistics provider offering freight transportation, supply chain optimization, and managed transportation services",Transportation,Logistics,Public,"Enterprise (5,000+)","Innovation-focused, Customer-centric, Collaborative, Global mindset","Navisphere, Microsoft Azure, SAP, Tableau",2
"Ryder System, Inc.","Global leader in commercial fleet management, dedicated transportation, and supply chain solutions",Transportation,Automotive Transport,Public,"Enterprise (5,000+)","Safety-focused, Innovation-driven, Customer-centric, Collaborative","SAP, Oracle Transportation Management, Ryder Freight Management System, Salesforce",3
Metropolitan Transportation Authority (MTA),"North America's largest transportation network, serving 15.3 million people across New York City, Long Island, southeastern New York State, and Connecticut",Transportation,Public Transit,Public,"Enterprise (5,000+)","Union Environment, Public Service, Safety-First, 24/7 Operations","SAP, Kronos, SCADA Systems, Transit Management Software, GIS",11
Maersk Line,Global container shipping company and vessel operator,Transportation,Marine Transport,Public,"Enterprise (5,000+)","Professional, Collaborative, Growth-Oriented, Established",,5
Swissport International,Global provider of airport ground services and air cargo handling,Transportation,Aviation Services,Private,"Enterprise (5,000+)","Fast-paced, Safety-focused, Global, 24/7 Operations","SAP, Amadeus, SITA, Custom Ground Handling Systems",10
Archer Daniels Midland (ADM),"Global agricultural processing and food ingredient provider, specializing in grain processing, oilseed processing, and food/feed ingredients",Agriculture,Agricultural Processing,Public,"Enterprise (5,000+)","Global, Sustainable, Innovation-focused, Safety-first","SAP ERP, Industrial IoT Sensors, Quality Management Systems, Process Control Systems, ERP Systems, IoT",11
JBS USA,Global meat processing company and largest beef producer worldwide,Agriculture,Livestock,Public,"Enterprise (5,000+)","Fast-paced, Safety-focused, Production-driven","SAP, Oracle ERP, Industrial IoT Systems",5
Indigo Agriculture,Develops microbial and digital technologies to improve crop yield sustainability,Agriculture,Agricultural Technology,Private,"Enterprise (5,000+)","Innovative, Sustainability-focused, Data-driven, Mission-driven","Python, R, AWS, GIS Software, IoT Platforms, Machine Learning",12
Earthbound Farm,Leading organic produce company growing and distributing fresh organic fruits and vegetables,Agriculture,Organic Farming,Public,"Enterprise (5,000+)","Sustainable, Mission-driven, Agricultural innovation","Farm management software, ERP systems, Supply chain tools",3
Nature's Path Foods,Organic breakfast and snack food manufacturer with owned organic farmland,Agriculture/Food Manufacturing,Organic Farming,Private,"Very Large (1,000-4,999)","Family-owned, Environmental stewardship, Organic integrity","Agricultural IoT, Manufacturing systems, Quality control software",3
Cargill Aqua Nutrition,Leading producer of aquaculture feeds and nutrition solutions for fish and shrimp farming,Agriculture,Aquaculture Nutrition,Private,"Very Large (1,000-4,999)","Research-driven, Customer-focused, Global reach","NIR Technology, Feed Formulation Software, Quality Management Systems",2
West Fraser Timber,Leading North American integrated wood products company,Agriculture,Forest Products Manufacturing,Public,"Enterprise (5,000+)","Safety-oriented, Environmental stewardship, Team-focused","ERP Systems, Optimization Software, Quality Control Systems",3
JPMorgan Chase,Global financial services firm and one of the largest banking institutions in the US,Finance,Commercial Banking,Public,"Enterprise (5,000+)","Fast-paced, Corporate, Professional, Innovation-focused","Tableau, Python, SQL, SAP, Bloomberg Terminal",3
AIG (American International Group),"Global insurance and financial services corporation providing property casualty insurance, life insurance, retirement products, and other financial services",Finance,Insurance,Public,"Enterprise (5,000+)","Fortune 500, Global, Professional, Risk Management","SAP, Guidewire, Salesforce, Python, R",2
Deloitte Financial Advisory,"Global professional services firm providing financial advisory, M&A, restructuring, and valuation services",Finance,Financial Advisory,Private,"Enterprise (5,000+)","Professional, Fast-paced, Client-focused, Global","FactSet, Capital IQ, Bloomberg Terminal, Excel, PowerPoint",2
Bread Financial,"Digital financial services company specializing in private label credit cards and buy now, pay later solutions",Finance,Credit Services,Public,"Enterprise (5,000+)","Tech-forward, Collaborative, Growth-oriented","Java, React, Node.js, MongoDB, Azure",2
"Square (Block, Inc.)",Financial services and digital payments company providing point-of-sale software and hardware,Finance,Payment Processing,Public,"Enterprise (5,000+)","Innovation-driven, Tech-forward, Fast-paced, Remote-friendly","Ruby, React, Go, Kubernetes, AWS",2
Northwestern Mutual,Insurance and investment services provider,Finance,Financial Planning,Private,"Enterprise (5,000+)","Traditional, Team-oriented, Client-focused","PlanningWorks, Salesforce, MoneyGuidePro",2
Brookings Institution,"Leading public policy think tank conducting in-depth research on economics, foreign policy, governance, and metropolitan policy",Policy & International Affairs,Policy Research,Private,Large (200-999),"Research-driven, Nonpartisan, Academic, Collaborative","Stata, R, Python, Tableau, Bloomberg Terminal",2
RAND Corporation,"Global policy research organization providing objective analysis on security, health, education, and other critical issues",Policy & International Affairs,Think Tanks,Private,"Very Large (1,000-4,999)","Research Excellence, Objective Analysis, Innovation","SAS, R, Python, SPSS, GIS Software",2
Coinbase,Leading cryptocurrency exchange platform and digital wallet provider,Finance,Cryptocurrency,Public,"Enterprise (5,000+)","Remote-first, Innovation-driven, Fast-paced, Tech-forward","React, Node.js, Python, AWS, Blockchain, Solidity",2
Kraken,Global cryptocurrency exchange offering trading of cryptocurrencies and digital assets,Finance,Cryptocurrency,Private,"Very Large (1,000-4,999)","Remote-friendly, Crypto-native, Global","Go, Python, PostgreSQL, Docker, Kubernetes",1
Edwards Lifesciences,Specializes in artificial heart valves and hemodynamic monitoring,Healthcare,Medical Devices,Public,"Enterprise (5,000+)","Patient-first, Innovation, Collaborative","PLM Systems, CAD Software, Quality Management Systems",1
Grameen America,Nonprofit microfinance organization providing loans and financial education to women entrepreneurs in the US,Finance,Microfinance,Private,Large (200-999),"Mission-driven, Social Impact, Women Empowerment, Community-focused","Salesforce, Microsoft Office, Custom Loan Management System, QuickBooks",5
Kiva,Global nonprofit technology platform connecting online lenders to entrepreneurs,Finance,Microfinance,Private,Large (200-999),"Tech for Good, Global Impact, Remote-First, Innovation","Ruby on Rails, React, PostgreSQL, AWS, Stripe",5
World Bank Group,International financial institution providing loans and grants to governments of developing countries,Policy & International Affairs,Multilateral Development Banks,Public,"Enterprise (5,000+)","Mission-driven, Global impact, Collaborative, Research-focused","SAP, Oracle Financials, Tableau, Power BI, SharePoint",2
UNICEF,UN agency working in 190 countries for children's rights and development,Policy & International Affairs,Humanitarian Aid,Public,"Enterprise (5,000+)","Child-focused, Emergency Response, Field-oriented","VISION, ProMS, SharePoint",2
Mayo Clinic,"Nonprofit medical center focused on integrated clinical practice, education, and research",Healthcare,Healthcare Providers,Non-Profit,"Enterprise (5,000+)","Research-driven, Academic, Innovation, Excellence","Epic EHR, Custom Clinical Systems, Research Databases",1
Control Risks Group,Global risk consulting firm specializing in political risk analysis and security intelligence,Policy & International Affairs,Political Risk Advisory,Private,"Enterprise (5,000+)","Global, Analytical, Client-focused, Professional","Tableau, Python, Bloomberg Terminal, Palantir, ArcGIS",2
Eurasia Group,Leading political risk research and consulting firm,Policy & International Affairs,Geopolitical Advisory,Private,Large (200-999),"Research-driven, Intellectual, Fast-paced","Factiva, SPSS, Tableau, proprietary analytics tools",2
"Anthem, Inc. (Elevance Health)",One of the largest health insurance providers in the US,Healthcare,Health Insurance,Public,"Enterprise (5,000+)","Work-Life Balance, Professional Development, Diversity Focus","Java, Oracle, Hadoop, Salesforce, ServiceNow",2
TSMC (Taiwan Semiconductor Manufacturing Company),"World's largest dedicated semiconductor foundry, manufacturing chips for major tech companies",Technology,Semiconductors,Public,"Enterprise (5,000+)","Innovation-driven, Technical excellence, Manufacturing precision","ASML lithography, Applied Materials tools, Custom fab software",2
International Rescue Committee (IRC),Global humanitarian aid and development organization working in crisis response and recovery,Policy & International Affairs,Development Organizations,Non-Profit,"Enterprise (5,000+)","Mission-driven, Global impact, Collaborative, Field-based","Salesforce, ArcGIS, PowerBI, DHIS2",2
Oxfam International,Global organization working to end poverty and inequality,Policy & International Affairs,Development Organizations,Non-Profit,"Enterprise (5,000+)","Social Justice, Gender Equality, Sustainable Development","SAP, Microsoft 365, Tableau, NetSuite",2
Summit Partners,"Global growth equity firm focusing on technology, healthcare and life sciences investments",Investment & Private Markets,Growth Equity,Private,"Very Large (1,000-4,999)","Deal-driven, Collaborative, High-performance, Analytical","FactSet, Capital IQ, Salesforce, Pitchbook",2
General Atlantic,"Global growth equity firm with focus on technology, consumer, healthcare, and financial services",Investment & Private Markets,Growth Equity,Private,"Enterprise (5,000+)","Global, Entrepreneurial, Long-term oriented","FactSet, Capital IQ, Dealcloud, Tableau",1
Teladoc Health,Leading virtual care provider offering comprehensive virtual healthcare solutions,Healthcare,Telemedicine,Public,"Enterprise (5,000+)","Remote-first, Innovation-driven, Patient-centric","Epic, Salesforce, AWS, React, Python",2
Fastly,Edge cloud platform for fast and secure digital experiences,Technology,Internet Services,Public,"Very Large (1,000-4,999)","Remote-first, Developer-focused, Collaborative","Varnish, C, Go, Ruby, TLS",2
Gates Foundation,"Global foundation working to reduce inequality and improve lives through healthcare, education, and poverty reduction",Policy & International Affairs,NGOs & Foundations,Private,"Very Large (1,000-4,999)","Impact-driven, Collaborative, Data-focused, Global","Salesforce, Tableau, Microsoft Office, Grant Management Systems",3
Rockefeller Foundation,"Promoting the well-being of humanity throughout the world through health, science, innovation and economic mobility",Policy & International Affairs,NGOs & Foundations,Private,Large (200-999),"Mission-driven, Innovation-focused, Global perspective","Grant Management Software, Salesforce, Data Analytics Tools",2
Genentech,Biotechnology company focused on discovering and developing medicines for serious diseases,Healthcare,Medical Research & Biotechnology,Public,"Enterprise (5,000+)","Innovation-driven, Research-focused, Collaborative","Laboratory Information Management Systems (LIMS), R Studio, Python, SAS",2
Cognizant,Digital products and IT services provider specializing in digital transformation,Technology,IT Consulting,Public,"Enterprise (5,000+)","Client-focused, Learning-oriented, Global delivery","Java, .NET, Python, AWS, Azure, ServiceNow",2
Albright Stonebridge Group,Global strategic advisory firm helping clients navigate complex international markets,Policy & International Affairs,Political Consulting,Private,Large (200-999),"International, Policy-focused, Client-centric, Analytical","Salesforce, Bloomberg Terminal, Microsoft Office Suite, Tableau",2
BowerGroupAsia,Strategic advisory firm specializing in Asia-Pacific markets,Policy & International Affairs,Political Consulting,Private,Large (200-999),"Asia-focused, Collaborative, Results-driven","Tableau, Slack, Microsoft Office Suite",2
Zynga,Social gaming and mobile app development company,Technology,Mobile Applications,Public,"Enterprise (5,000+)","Gaming focused, Creative, Fast-paced, Innovation driven","Unity, C++, Python, AWS, React Native",2
Duolingo,Language learning mobile application platform,Technology,Mobile Applications,Public,"Very Large (1,000-4,999)","EdTech, Data-driven, Remote-friendly","Python, React Native, AWS, Swift, Kotlin",1
Talkspace,Online therapy and mental health services platform,Healthcare,Mental Health Services,Public,"Very Large (1,000-4,999)","Remote-first, Tech-driven, Mission-driven, Work-life balance","React, Node.js, AWS, HIPAA-compliant systems",2
Brunswick Group,Global advisory firm specializing in critical issues and corporate relations,Policy & International Affairs,Government Relations & Strategic Communications,Private,"Enterprise (5,000+)","Fast-paced, Client-focused, Global mindset, Collaborative","Salesforce, Quorum, Bloomberg Terminal, Microsoft Office Suite",2
Unity Technologies,Creator of Unity game engine and development platform,Technology,Gaming,Public,"Enterprise (5,000+)","Innovation, Developer-first, Global","C#, C++, Unity, Azure, Machine Learning",2
Home Instead Senior Care,Leading provider of in-home care services for seniors,Healthcare,Elder Care,Private,"Enterprise (5,000+)","Compassionate care, Family-oriented, Professional development","ClearCare, HomeCare software, Salesforce",1
McKinsey & Company,"Global management consulting firm providing strategic advice to corporations, governments, and organizations",Strategy & Management Consulting,Top-Tier Strategy Consulting,Private,"Enterprise (5,000+)","High-performance, Structured, Global mobility, Intellectual rigor","PowerPoint, Excel, Tableau, Alteryx, Python, McKinsey Solutions",5
World Trade Organization (WTO),International organization regulating trade between nations,Policy & International Affairs,Trade Organizations,Public,Large (200-999),"International, Diplomatic, Policy-focused, Multilingual","SAP, Tableau, MS Office Suite, Custom Trade Database Systems",5
U.S. Chamber of Commerce,Largest business federation representing companies across industries,Policy & International Affairs,Trade Organizations,Non-Profit,Large (200-999),"Business Advocacy, Policy-driven, Government Relations","Salesforce, MS Office Suite, Adobe Creative Suite, CMS Systems",5
Abu Dhabi Investment Authority (ADIA),"One of the world's largest sovereign wealth funds, managing Abu Dhabi's excess oil reserves",Investment & Private Markets,Sovereign Wealth Funds,Public,"Very Large (1,000-4,999)","Conservative, Professional, Global, Excellence-driven, Long-term focused","Bloomberg Terminal, FactSet, Python, R, Aladdin",5
VCA Animal Hospitals,Leading network of veterinary hospitals providing comprehensive pet healthcare services,Healthcare,Veterinary Services,Public,"Enterprise (5,000+)","Pet-focused, Collaborative, Professional Development, Work-life Balance","VetConnect PLUS, Cornerstone, eVetSites, Practice Management Software",5
Banfield Pet Hospital,Preventive veterinary care provider with 1000+ hospitals nationwide,Healthcare,Veterinary Services,Private,"Enterprise (5,000+)","Preventive Care Focus, Team-oriented, Learning Culture","PetWare, OptimumWare, VetLogic, PetSync",5
Cascade Investment LLC,Private investment and holding company managing Bill Gates' wealth and the Gates Foundation assets,Investment & Private Markets,Single Family Office,Private,Large (200-999),"Data-driven, Long-term focused, Impact investing","Bloomberg Terminal, FactSet, Python, Excel",2
MSD Capital,Private investment firm managing Michael Dell's family wealth,Investment & Private Markets,Single Family Office,Private,Medium (50-199),"Entrepreneurial, Excellence-driven, Collaborative","FactSet, Tableau, SQL, Excel",2
Asian Development Bank,Regional development bank promoting social and economic development in Asia,Policy & International Affairs,Regional Development Banks,Public,"Very Large (1,000-4,999)","Development impact, Regional focus, Technical excellence","SAP, Microsoft Office Suite, Statistical packages",2
Amwell,Technology-enabled healthcare company enabling digital delivery of care,Healthcare,Telemedicine,Public,"Enterprise (5,000+)","Healthcare Innovation, Tech-forward, Collaborative","Java, React, MongoDB, Azure, iOS/Android",1
Deloitte Digital,"Digital consulting practice combining creative, technology, and consulting capabilities",Strategy & Management Consulting,Technology Consulting,Private,"Enterprise (5,000+)","Creative, Innovative, Collaborative, Client-focused","Adobe Experience Manager, Salesforce, AWS, React, Node.js",3
CalPERS (California Public Employees' Retirement System),Largest public pension fund in the US managing retirement benefits for California state employees,Investment & Private Markets,Public Pension Funds,Public,"Very Large (1,000-4,999)","Mission-driven, Public service, Work-life balance, Professional development","BlackRock Aladdin, FactSet, Bloomberg Terminal, Python, SQL",3
Ontario Teachers' Pension Plan,One of Canada's largest institutional investors managing teachers' pensions,Investment & Private Markets,Public Pension Funds,Public,"Very Large (1,000-4,999)","Innovation-focused, Global perspective, Collaborative","FactSet, Bloomberg Terminal, Python, R, Tableau",2
Global Policy Partners,International consulting firm specializing in diplomatic relations and embassy support services,Policy & International Affairs,Embassy Services,Private,Large (200-999),"International, Professional, Diplomatic, Policy-focused","Salesforce, Oracle, MS Office Suite, Visa Processing Systems",2
Diplomatic Services International,Provider of comprehensive embassy support and diplomatic services,Policy & International Affairs,Embassy Services,Public,"Enterprise (5,000+)","Global, Security-focused, Professional","SAP, Embassy Management Systems, Security Protocols",2
"Skadden, Arps, Slate, Meagher & Flom LLP","Global law firm specializing in mergers and acquisitions, corporate finance, and complex litigation",Legal Services,Corporate Law,Private,"Enterprise (5,000+)","Fast-paced, Prestigious, Client-focused, Traditional","iManage, Relativity, NetDocuments, Elite 3E, LexisNexis",2
Latham & Watkins LLP,"International law firm focusing on corporate transactions, complex litigation, and regulatory matters",Legal Services,Corporate Law,Private,"Enterprise (5,000+)","Global, Collaborative, Innovation-focused, Professional","Clio, HighQ, DocuSign, Kira Systems, Westlaw",2
Center for Strategic and International Studies (CSIS),Bipartisan think tank focused on international security and policy,Policy & International Affairs,Think Tank,Non-Profit,"Very Large (1,000-4,999)","Research-oriented, Nonpartisan, Policy-focused","Stata, R, GIS software, Content management systems",2
Cambridge Associates LLC,Global investment firm providing outsourced portfolio management and advisory services to institutional investors,Investment & Private Markets,Endowment Management,Private,"Very Large (1,000-4,999)","Research-driven, Collaborative, Client-focused, Academic","FactSet, Bloomberg Terminal, Python, R, Tableau",2
Commonfund,"Investment manager for endowments, foundations and public sector retirement funds",Investment & Private Markets,Endowment Management,Private,Large (200-999),"Institutional, Research-focused, Client-centric","BlackRock Aladdin, FactSet, Bloomberg Terminal",2
BCG Digital Ventures,Digital business building and corporate innovation arm of Boston Consulting Group,Strategy & Management Consulting,Digital Transformation,Private,"Enterprise (5,000+)","Innovation-driven, Fast-paced, Entrepreneurial, Global","AWS, Azure, Jira, Tableau, Python, React, Node.js",5
Publicis Sapient,Digital business transformation consultancy focusing on customer experience and technology,Strategy & Management Consulting,Digital Transformation,Public,"Enterprise (5,000+)","Creative, Tech-focused, Client-centric, Collaborative","Adobe Experience Manager, Salesforce, Angular, Java, Cloud platforms",3
"Quinn Emanuel Urquhart & Sullivan, LLP","World's largest business litigation firm, focusing on high-stakes disputes",Legal Services,Litigation,Private,"Very Large (1,000-4,999)","Trial-focused, Entrepreneurial, Results-driven","Relativity, CaseMap, TrialDirector, Westlaw",2
Condé Nast,"Global media company producing premium content across print, digital, video and social platforms",Media & Publishing,Elite Media Organizations,Private,"Enterprise (5,000+)","Creative, Fast-paced, Digital-first, Editorial excellence","Adobe Creative Suite, Content Management Systems, Social Media Tools, Data Analytics Platforms",2
Thomson Reuters,Global provider of business information services and news,Media & Publishing,Elite Media Organizations,Public,"Enterprise (5,000+)","Professional, Global, Innovation-focused, Data-driven","Reuters Connect, Eikon, Custom CMS, AI/ML Tools",2
Cordell & Cordell,National domestic litigation firm focusing on men's divorce and family law cases,Legal Services,Family Law,Private,Large (200-999),"Professional, Client-focused, Work-life balance, Collaborative","Clio, LexisNexis, Westlaw, Microsoft Office Suite, ProLaw",2
Stange Law Firm,Midwest family law firm specializing in divorce and custody cases,Legal Services,Family Law,Private,Large (200-999),"Client-centric, Growth-oriented, Team-focused","MyCase, Westlaw, Microsoft Office Suite, DocuSign",2
Bloomberg LP,"Global financial data, news, and analytics provider",Media & Publishing,Financial Media,Private,"Enterprise (5,000+)","Fast-paced, Innovation-driven, Data-focused","Bloomberg Terminal, Python, C++, SQL",2
Dow Jones & Company,Publisher of financial news and information,Media & Publishing,Financial Media,Public,"Enterprise (5,000+)","Traditional media, Digital transformation","Content Management Systems, Analytics platforms",1
Apple Inc.,"Apple Inc. is an American multinational technology company that designs, develops, and sells consumer electronics, computer software, and online services. Known for innovative products like iPhone, iPad, Mac, and services.",Technology,Consumer Electronics,Public,"Enterprise (5,000+)","Innovative, Design-Focused, Premium Quality, Collaborative","Swift, Objective-C, iOS, macOS",3
Google (Alphabet),"Google LLC is an American multinational technology company that specializes in Internet-related services and products, including search, cloud computing, advertising technologies, and artificial intelligence.",Technology,Internet Services,Public,"Enterprise (5,000+)","Innovative, Data-Driven, Collaborative, Global","Python, Java, Go, TensorFlow, Kubernetes",3
Meta (Facebook),"Meta Platforms Inc. is an American multinational technology conglomerate focused on social media, virtual reality, and metaverse technologies, operating platforms like Facebook, Instagram, and WhatsApp.",Technology,Social Media,Public,"Enterprise (5,000+)","Move Fast, Bold, Innovative, Connected","React, Python, PHP, JavaScript, PyTorch",3
Amazon,"Amazon.com Inc. is an American multinational technology company focusing on e-commerce, cloud computing, digital streaming, and artificial intelligence, operating Amazon Web Services and retail platforms.",Technology,E-commerce,Public,"Enterprise (5,000+)","Customer Obsessed, Ownership, Innovative, High Standards","Java, Python, AWS, Scala, TypeScript",3
Microsoft Corporation,"Microsoft Corporation is an American multinational technology corporation that develops, manufactures, licenses, supports, and sells computer software, consumer electronics, and personal computers.",Technology,Software,Public,"Enterprise (5,000+)","Inclusive, Innovative, Growth Mindset, Collaborative",".NET, C#, Azure, TypeScript, Python",3
Palantir Technologies,"Palantir Technologies Inc. is an American software company that specializes in big data analytics, serving government and commercial clients with data integration and analysis platforms.",Technology,Data Analytics,Public,"Very Large (1,000-4,999)","Mission-Driven, Analytical, Innovative, Impact-Focused","Java, Python, TypeScript, React, Big Data",2
OpenAI,"OpenAI is an American artificial intelligence research laboratory consisting of the for-profit corporation OpenAI LP and non-profit parent company OpenAI Inc, focused on developing artificial general intelligence.",Technology,Artificial Intelligence,Private,Medium (50-199),"Research-Focused, Innovative, Mission-Driven, Collaborative","Python, PyTorch, TensorFlow, Kubernetes, Machine Learning",2
Anthropic,"Anthropic is an AI safety company focused on developing safe, beneficial artificial intelligence systems through research in AI alignment and safety techniques.",Technology,Artificial Intelligence,Private,Small (1-49),"Safety-Focused, Research-Driven, Ethical, Innovative","Python, PyTorch, Machine Learning, NLP",2
SpaceX,"SpaceX is an American aerospace manufacturer and space transportation company founded by Elon Musk, focused on reducing space transportation costs and enabling Mars colonization.",Aerospace,Space Technology,Private,"Very Large (1,000-4,999)","Mission-Driven, Fast-Paced, Innovative, High-Performance","C++, Python, Linux, Real-time Systems",2
Netflix,"Netflix Inc. is an American subscription streaming service and production company that offers a wide variety of TV series, documentaries, and feature films across a wide variety of genres and languages.",Media & Entertainment,Streaming,Public,"Very Large (1,000-4,999)","Freedom & Responsibility, High Performance, Innovative, Data-Driven","Java, Python, JavaScript, React, AWS",2
Boston Consulting Group (BCG),"Boston Consulting Group is a global management consulting firm and the world's second-largest consulting firm, partnering with leaders in business and society to tackle their most important challenges.",Strategy & Management Consulting,Management Consulting,Private,"Enterprise (5,000+)","Strategic, Analytical, Global, Impact-Driven","PowerBI, Tableau, Python, R, SQL",2
Bain & Company,"Bain & Company is a global management consulting firm that helps companies create sustainable, superior value for their customers, shareholders, and communities.",Strategy & Management Consulting,Management Consulting,Private,"Enterprise (5,000+)","Results-Oriented, Collaborative, Entrepreneurial, Data-Driven","Excel, PowerPoint, Python, R, Tableau",2
PwC (PricewaterhouseCoopers),"PwC is a multinational professional services network and one of the Big Four accounting firms, providing audit, tax, and consulting services to clients worldwide.",Strategy & Management Consulting,Professional Services,Private,"Enterprise (5,000+)","Professional, Global, Diverse, Client-Focused","SAP, Oracle, Salesforce, Power BI, Python",2
EY (Ernst & Young),"EY is a multinational professional services partnership and one of the Big Four accounting firms, providing assurance, tax, transaction, and advisory services.",Strategy & Management Consulting,Professional Services,Private,"Enterprise (5,000+)","Innovative, Inclusive, Global, Purpose-Driven","Microsoft Suite, Tableau, Alteryx, Python, Power BI",2
KPMG,"KPMG is a multinational professional services network and one of the Big Four accounting firms, providing audit, tax, and advisory services to clients worldwide.",Strategy & Management Consulting,Professional Services,Private,"Enterprise (5,000+)","Professional, Collaborative, Global, Values-Driven","Microsoft Suite, SAP, Oracle, Tableau, R",2
UBS,"UBS is a Swiss multinational investment bank and financial services company, providing wealth management, asset management, and investment banking services to private, corporate, and institutional clients worldwide.",Banking and Finance,Investment Banking,Public,"Enterprise (5,000+)","Swiss Excellence, Global, Client-Focused, Innovative","Bloomberg Terminal, Reuters, Python, SQL, Excel",2
Deutsche Bank,"Deutsche Bank is a German multinational investment bank and financial services company, providing investment banking, retail banking, transaction banking, and asset management services.",Banking and Finance,Investment Banking,Public,"Enterprise (5,000+)","European Leader, Global, Innovation-Driven, Performance-Oriented","Bloomberg Terminal, Reuters, Python, R, SQL",2
BNP Paribas,"BNP Paribas is a French international banking group and a major global bank, providing investment banking, asset management, and financial services worldwide.",Banking and Finance,Investment Banking,Public,"Enterprise (5,000+)","European Heritage, Global Presence, Sustainable Finance, Innovation","Bloomberg Terminal, Thomson Reuters, Python, MATLAB, SQL",2
Société Générale,"Société Générale is a French multinational investment bank and financial services company, providing corporate and investment banking, asset management, and securities services.",Banking and Finance,Investment Banking,Public,"Enterprise (5,000+)","French Excellence, Innovation, Global Network, Entrepreneurial","Bloomberg Terminal, Reuters, Python, VBA, SQL",2
Nomura Holdings,"Nomura Holdings is a Japanese financial holding company and a major global investment bank, providing investment banking, asset management, and brokerage services worldwide.",Banking and Finance,Investment Banking,Public,"Enterprise (5,000+)","Japanese Heritage, Asian Markets, Global Ambition, Client-Centric","Bloomberg Terminal, Thomson Reuters, Python, R, SQL",2
Salesforce,"Salesforce is an American cloud-based software company that provides customer relationship management (CRM) software and applications focused on sales, customer service, marketing automation, analytics, and application development.",Technology,Enterprise Software,Public,"Enterprise (5,000+)","Customer Success, Innovation, Equality, Trailblazer","Salesforce Platform, Apex, Lightning, Java, JavaScript",3
Oracle Corporation,"Oracle Corporation is an American multinational computer technology corporation that offers database software and technology, cloud engineered systems, and enterprise software products.",Technology,Enterprise Software,Public,"Enterprise (5,000+)","Innovation, Performance, Global, Enterprise-Focused","Oracle Database, Java, SQL, PL/SQL, Oracle Cloud",2
SAP,"SAP SE is a German multinational software corporation that makes enterprise software to manage business operations and customer relations, headquartered in Walldorf, Germany.",Technology,Enterprise Software,Public,"Enterprise (5,000+)","Innovation, Purpose-Driven, Global, Collaborative","SAP HANA, ABAP, Java, JavaScript, SAP Cloud Platform",2
ServiceNow,ServiceNow Inc. is an American software company that provides digital workflows that create great experiences and unlock productivity for employees and the enterprise.,Technology,Enterprise Software,Public,"Enterprise (5,000+)","Innovation, Inclusive, High-Performance, Customer-Focused","ServiceNow Platform, JavaScript, AngularJS, Java, REST APIs",2
Workday,"Workday Inc. is an American on-demand financial management and human capital management software vendor, providing software-as-a-service (SaaS) applications for enterprise customers.",Technology,Enterprise Software,Public,"Enterprise (5,000+)","Innovation, Fun, Customer Service, Employee Satisfaction","Java, Scala, React, Spring, Workday Platform",2
Qualcomm,Qualcomm Incorporated is an American multinational semiconductor and telecommunications equipment company that designs and markets wireless telecommunications products and services.,Technology,Semiconductors,Public,"Enterprise (5,000+)","Innovation, Wireless Technology, Global, Engineering Excellence","C/C++, Verilog, SystemVerilog, Python, MATLAB",2
Broadcom Inc.,"Broadcom Inc. is an American designer, developer, manufacturer and global supplier of semiconductor and infrastructure software products, serving the data center, networking, software, broadband, wireless, and storage markets.",Technology,Semiconductors,Public,"Enterprise (5,000+)","Innovation, Excellence, Global, Technology Leadership","C/C++, Verilog, SystemVerilog, Python, Perl",2
Micron Technology,"Micron Technology Inc. is an American producer of computer memory and computer data storage including dynamic random-access memory, flash memory, and USB flash drives.",Technology,Semiconductors,Public,"Enterprise (5,000+)","Innovation, Quality, Global, Technology Excellence","C/C++, Python, MATLAB, Verilog, Assembly",2
Okta,Okta Inc. is an American identity and access management company that provides cloud software that helps companies manage and secure user authentication into applications.,Technology,Cybersecurity,Public,"Enterprise (5,000+)","Customer First, Innovation, Integrity, Transparency","Java, JavaScript, React, AWS, Kubernetes",2
Zscaler,"Zscaler Inc. is an American cloud-based information security company that provides internet security, web security, firewalls, sandboxing, SSL inspection, antivirus, vulnerability management and granular control of user activity in cloud computing, mobile and IoT environments.",Technology,Cybersecurity,Public,"Enterprise (5,000+)","Innovation, Customer-Centric, High Performance, Agile","Java, Python, Go, JavaScript, AWS",2
Fortinet,"Fortinet Inc. is an American multinational corporation that develops and markets cybersecurity software, appliances and services, such as firewalls, anti-virus, intrusion prevention and endpoint security.",Technology,Cybersecurity,Public,"Enterprise (5,000+)","Security-First, Innovation, Global, Performance","C/C++, Python, Linux, Networking, Security Protocols",2
